onset	duration	trial_type	value	sample
0.0	0.001	New Segment/	1	0
0.0	0.001	Stimulus/S  6	5	0
2.475	0.001	Stimulus/S 70	16	2475
2.496	0.001	Stimulus/S 77	21	2496
2.534	0.001	Stimulus/S  7	6	2534
4.476	0.001	Stimulus/S 56	11	4476
4.534	0.001	Stimulus/S  1	2	4534
5.6	0.001	Stimulus/S 10	7	5600
5.667	0.001	Stimulus/S  4	3	5667
5.984	0.001	Stimulus/S  5	4	5984
6.1	0.001	Stimulus/S  6	5	6100
10.268	0.001	Stimulus/S 70	16	10268
10.288	0.001	Stimulus/S 77	21	10288
10.334	0.001	Stimulus/S  7	6	10334
12.03	0.001	Stimulus/S 56	11	12030
12.084	0.001	Stimulus/S  1	2	12084
13.2	0.001	Stimulus/S 10	7	13200
13.267	0.001	Stimulus/S  4	3	13267
13.584	0.001	Stimulus/S  5	4	13584
13.7	0.001	Stimulus/S  6	5	13700
17.34	0.001	Stimulus/S 70	16	17340
17.36	0.001	Stimulus/S 75	19	17360
17.38	0.001	Stimulus/S 76	20	17380
17.417	0.001	Stimulus/S  7	6	17417
19.104	0.001	Stimulus/S 50	8	19104
19.124	0.001	Stimulus/S 55	10	19124
19.184	0.001	Stimulus/S  1	2	19184
20.384	0.001	Stimulus/S 10	7	20384
20.451	0.001	Stimulus/S  4	3	20451
20.767	0.001	Stimulus/S  5	4	20767
20.884	0.001	Stimulus/S  6	5	20884
27.068	0.001	Stimulus/S 70	16	27068
27.088	0.001	Stimulus/S 74	18	27088
27.108	0.001	Stimulus/S 76	20	27108
27.151	0.001	Stimulus/S  7	6	27151
28.715	0.001	Stimulus/S 50	8	28715
28.735	0.001	Stimulus/S 55	10	28735
28.801	0.001	Stimulus/S  1	2	28801
30.084	0.001	Stimulus/S 10	7	30084
30.151	0.001	Stimulus/S  4	3	30151
30.467	0.001	Stimulus/S  5	4	30467
30.584	0.001	Stimulus/S  6	5	30584
33.692	0.001	Stimulus/S 70	16	33692
33.713	0.001	Stimulus/S 75	19	33713
33.733	0.001	Stimulus/S 76	20	33733
33.767	0.001	Stimulus/S  7	6	33767
35.466	0.001	Stimulus/S 50	8	35466
35.486	0.001	Stimulus/S 55	10	35486
35.551	0.001	Stimulus/S  1	2	35551
37.051	0.001	Stimulus/S 10	7	37051
37.117	0.001	Stimulus/S  4	3	37117
37.434	0.001	Stimulus/S  5	4	37434
37.551	0.001	Stimulus/S  6	5	37551
42.332	0.001	Stimulus/S 70	16	42332
42.353	0.001	Stimulus/S 77	21	42353
42.384	0.001	Stimulus/S  7	6	42384
44.144	0.001	Stimulus/S 56	11	44144
44.201	0.001	Stimulus/S  1	2	44201
45.534	0.001	Stimulus/S 10	7	45534
45.601	0.001	Stimulus/S  4	3	45601
45.917	0.001	Stimulus/S  5	4	45917
46.034	0.001	Stimulus/S  6	5	46034
49.421	0.001	Stimulus/S 70	16	49421
49.441	0.001	Stimulus/S 74	18	49441
49.461	0.001	Stimulus/S 76	20	49461
49.501	0.001	Stimulus/S  7	6	49501
51.395	0.001	Stimulus/S 50	8	51395
51.416	0.001	Stimulus/S 55	10	51416
51.484	0.001	Stimulus/S  1	2	51484
52.667	0.001	Stimulus/S 10	7	52667
52.734	0.001	Stimulus/S  4	3	52734
53.051	0.001	Stimulus/S  5	4	53051
53.167	0.001	Stimulus/S  6	5	53167
57.389	0.001	Stimulus/S 70	16	57389
57.409	0.001	Stimulus/S 77	21	57409
57.451	0.001	Stimulus/S  7	6	57451
59.136	0.001	Stimulus/S 56	11	59136
59.201	0.001	Stimulus/S  1	2	59201
60.334	0.001	Stimulus/S 10	7	60334
60.401	0.001	Stimulus/S  4	3	60401
60.717	0.001	Stimulus/S  5	4	60717
60.834	0.001	Stimulus/S  6	5	60834
64.061	0.001	Stimulus/S 70	16	64061
64.081	0.001	Stimulus/S 75	19	64081
64.101	0.001	Stimulus/S 76	20	64101
64.134	0.001	Stimulus/S  7	6	64134
66.127	0.001	Stimulus/S 50	8	66127
66.147	0.001	Stimulus/S 55	10	66147
66.201	0.001	Stimulus/S  1	2	66201
67.318	0.001	Stimulus/S 10	7	67318
67.384	0.001	Stimulus/S  4	3	67384
67.701	0.001	Stimulus/S  5	4	67701
67.817	0.001	Stimulus/S  6	5	67817
70.157	0.001	Stimulus/S 70	16	70157
70.177	0.001	Stimulus/S 74	18	70177
70.197	0.001	Stimulus/S 76	20	70197
70.234	0.001	Stimulus/S  7	6	70234
71.953	0.001	Stimulus/S 50	8	71953
71.973	0.001	Stimulus/S 55	10	71973
72.034	0.001	Stimulus/S  1	2	72034
73.201	0.001	Stimulus/S 10	7	73201
73.267	0.001	Stimulus/S  4	3	73267
73.584	0.001	Stimulus/S  5	4	73584
73.701	0.001	Stimulus/S  6	5	73701
76.365	0.001	Stimulus/S 70	16	76365
76.385	0.001	Stimulus/S 77	21	76385
76.417	0.001	Stimulus/S  7	6	76417
78.377	0.001	Stimulus/S 56	11	78377
78.434	0.001	Stimulus/S  1	2	78434
79.634	0.001	Stimulus/S 10	7	79634
79.701	0.001	Stimulus/S  4	3	79701
80.018	0.001	Stimulus/S  5	4	80018
80.134	0.001	Stimulus/S  6	5	80134
83.373	0.001	Stimulus/S 70	16	83373
83.393	0.001	Stimulus/S 75	19	83393
83.414	0.001	Stimulus/S 76	20	83414
83.451	0.001	Stimulus/S  7	6	83451
85.039	0.001	Stimulus/S 50	8	85039
85.06	0.001	Stimulus/S 55	10	85060
85.118	0.001	Stimulus/S  1	2	85118
86.468	0.001	Stimulus/S 10	7	86468
86.534	0.001	Stimulus/S  4	3	86534
86.851	0.001	Stimulus/S  5	4	86851
86.968	0.001	Stimulus/S  6	5	86968
90.557	0.001	Stimulus/S 70	16	90557
90.578	0.001	Stimulus/S 74	18	90578
90.598	0.001	Stimulus/S 76	20	90598
90.634	0.001	Stimulus/S  7	6	90634
92.461	0.001	Stimulus/S 50	8	92461
92.482	0.001	Stimulus/S 55	10	92482
92.551	0.001	Stimulus/S  1	2	92551
93.801	0.001	Stimulus/S 10	7	93801
93.868	0.001	Stimulus/S  4	3	93868
94.184	0.001	Stimulus/S  5	4	94184
94.301	0.001	Stimulus/S  6	5	94301
98.798	0.001	Stimulus/S 70	16	98798
98.818	0.001	Stimulus/S 74	18	98818
98.838	0.001	Stimulus/S 76	20	98838
98.868	0.001	Stimulus/S  7	6	98868
100.843	0.001	Stimulus/S 50	8	100843
100.864	0.001	Stimulus/S 55	10	100864
100.918	0.001	Stimulus/S  1	2	100918
102.218	0.001	Stimulus/S 10	7	102218
102.284	0.001	Stimulus/S  4	3	102284
102.601	0.001	Stimulus/S  5	4	102601
102.718	0.001	Stimulus/S  6	5	102718
105.486	0.001	Stimulus/S 70	16	105486
