onset	duration	trial_type	value	sample
0.0	0.001	New Segment/	1	0
14.599	0.001	Stimulus/S  1	2	14599
15.749	0.001	Stimulus/S 10	7	15749
15.816	0.001	Stimulus/S  4	3	15816
16.132	0.001	Stimulus/S  5	4	16132
16.249	0.001	Stimulus/S  6	5	16249
18.885	0.001	Stimulus/S 70	15	18885
18.905	0.001	Stimulus/S 77	20	18905
18.949	0.001	Stimulus/S  7	6	18949
20.913	0.001	Stimulus/S 56	11	20913
20.982	0.001	Stimulus/S  1	2	20982
22.266	0.001	Stimulus/S 10	7	22266
22.332	0.001	Stimulus/S  4	3	22332
22.649	0.001	Stimulus/S  5	4	22649
22.766	0.001	Stimulus/S  6	5	22766
25.668	0.001	Stimulus/S 70	15	25668
25.689	0.001	Stimulus/S 74	17	25689
25.709	0.001	Stimulus/S 76	19	25709
25.749	0.001	Stimulus/S  7	6	25749
27.713	0.001	Stimulus/S 50	8	27713
27.733	0.001	Stimulus/S 55	10	27733
27.799	0.001	Stimulus/S  1	2	27799
29.283	0.001	Stimulus/S 10	7	29283
29.349	0.001	Stimulus/S  4	3	29349
29.666	0.001	Stimulus/S  5	4	29666
29.783	0.001	Stimulus/S  6	5	29783
32.676	0.001	Stimulus/S 70	15	32676
32.697	0.001	Stimulus/S 75	18	32697
32.717	0.001	Stimulus/S 76	19	32717
32.749	0.001	Stimulus/S  7	6	32749
34.523	0.001	Stimulus/S 50	8	34523
34.543	0.001	Stimulus/S 55	10	34543
34.599	0.001	Stimulus/S  1	2	34599
36.049	0.001	Stimulus/S 10	7	36049
36.116	0.001	Stimulus/S  4	3	36116
36.432	0.001	Stimulus/S  5	4	36432
36.549	0.001	Stimulus/S  6	5	36549
38.949	0.001	Stimulus/S 70	15	38949
38.969	0.001	Stimulus/S 74	17	38969
38.99	0.001	Stimulus/S 76	19	38990
39.033	0.001	Stimulus/S  7	6	39033
41.005	0.001	Stimulus/S 50	8	41005
41.025	0.001	Stimulus/S 55	10	41025
41.083	0.001	Stimulus/S  1	2	41083
42.599	0.001	Stimulus/S 10	7	42599
42.666	0.001	Stimulus/S  4	3	42666
42.983	0.001	Stimulus/S  5	4	42983
43.099	0.001	Stimulus/S  6	5	43099
45.653	0.001	Stimulus/S 70	15	45653
45.673	0.001	Stimulus/S 75	18	45673
45.693	0.001	Stimulus/S 76	19	45693
45.733	0.001	Stimulus/S  7	6	45733
47.538	0.001	Stimulus/S 50	8	47538
47.559	0.001	Stimulus/S 55	10	47559
47.616	0.001	Stimulus/S  1	2	47616
49.116	0.001	Stimulus/S 10	7	49116
49.183	0.001	Stimulus/S  4	3	49183
49.499	0.001	Stimulus/S  5	4	49499
49.616	0.001	Stimulus/S  6	5	49616
53.461	0.001	Stimulus/S 70	15	53461
53.481	0.001	Stimulus/S 77	20	53481
53.516	0.001	Stimulus/S  7	6	53516
55.295	0.001	Stimulus/S 56	11	55295
55.349	0.001	Stimulus/S  1	2	55349
56.566	0.001	Stimulus/S 10	7	56566
56.633	0.001	Stimulus/S  4	3	56633
56.949	0.001	Stimulus/S  5	4	56949
57.066	0.001	Stimulus/S  6	5	57066
59.765	0.001	Stimulus/S 70	15	59765
59.785	0.001	Stimulus/S 75	18	59785
59.806	0.001	Stimulus/S 76	19	59806
59.849	0.001	Stimulus/S  7	6	59849
61.738	0.001	Stimulus/S 50	8	61738
61.758	0.001	Stimulus/S 55	10	61758
61.816	0.001	Stimulus/S  1	2	61816
63.133	0.001	Stimulus/S 10	7	63133
63.199	0.001	Stimulus/S  4	3	63199
63.516	0.001	Stimulus/S  5	4	63516
63.633	0.001	Stimulus/S  6	5	63633
66.037	0.001	Stimulus/S 70	15	66037
66.058	0.001	Stimulus/S 77	20	66058
66.099	0.001	Stimulus/S  7	6	66099
67.611	0.001	Stimulus/S 56	11	67611
67.666	0.001	Stimulus/S  1	2	67666
69.133	0.001	Stimulus/S 10	7	69133
69.2	0.001	Stimulus/S  4	3	69200
69.516	0.001	Stimulus/S  5	4	69516
69.633	0.001	Stimulus/S  6	5	69633
72.533	0.001	Stimulus/S 70	15	72533
72.553	0.001	Stimulus/S 74	17	72553
72.574	0.001	Stimulus/S 76	19	72574
72.616	0.001	Stimulus/S  7	6	72616
74.317	0.001	Stimulus/S 50	8	74317
74.337	0.001	Stimulus/S 55	10	74337
74.4	0.001	Stimulus/S  1	2	74400
75.666	0.001	Stimulus/S 10	7	75666
75.733	0.001	Stimulus/S  4	3	75733
76.05	0.001	Stimulus/S  5	4	76050
76.166	0.001	Stimulus/S  6	5	76166
78.581	0.001	Stimulus/S 70	15	78581
78.602	0.001	Stimulus/S 77	20	78602
78.633	0.001	Stimulus/S  7	6	78633
80.216	0.001	Stimulus/S 56	11	80216
80.283	0.001	Stimulus/S  1	2	80283
81.483	0.001	Stimulus/S 10	7	81483
81.549	0.001	Stimulus/S  4	3	81549
81.866	0.001	Stimulus/S  5	4	81866
81.983	0.001	Stimulus/S  6	5	81983
84.774	0.001	Stimulus/S 70	15	84774
84.794	0.001	Stimulus/S 74	17	84794
84.814	0.001	Stimulus/S 76	19	84814
84.85	0.001	Stimulus/S  7	6	84850
86.44	0.001	Stimulus/S 50	8	86440
86.46	0.001	Stimulus/S 55	10	86460
86.516	0.001	Stimulus/S  1	2	86516
87.7	0.001	Stimulus/S 10	7	87700
87.766	0.001	Stimulus/S  4	3	87766
88.083	0.001	Stimulus/S  5	4	88083
88.2	0.001	Stimulus/S  6	5	88200
90.534	0.001	Stimulus/S 70	15	90534
90.554	0.001	Stimulus/S 75	18	90554
90.574	0.001	Stimulus/S 76	19	90574
90.616	0.001	Stimulus/S  7	6	90616
92.562	0.001	Stimulus/S 50	8	92562
92.583	0.001	Stimulus/S 55	10	92583
92.65	0.001	Stimulus/S  1	2	92650
94.133	0.001	Stimulus/S 10	7	94133
94.2	0.001	Stimulus/S  4	3	94200
94.516	0.001	Stimulus/S  5	4	94516
94.633	0.001	Stimulus/S  6	5	94633
97.494	0.001	Stimulus/S 70	15	97494
97.515	0.001	Stimulus/S 77	20	97515
97.55	0.001	Stimulus/S  7	6	97550
99.343	0.001	Stimulus/S 56	11	99343
99.4	0.001	Stimulus/S  1	2	99400
100.466	0.001	Stimulus/S 10	7	100466
100.533	0.001	Stimulus/S  4	3	100533
100.85	0.001	Stimulus/S  5	4	100850
100.966	0.001	Stimulus/S  6	5	100966
103.446	0.001	Stimulus/S 70	15	103446
103.466	0.001	Stimulus/S 75	18	103466
103.486	0.001	Stimulus/S 76	19	103486
103.516	0.001	Stimulus/S  7	6	103516
105.309	0.001	Stimulus/S 50	8	105309
105.33	0.001	Stimulus/S 55	10	105330
105.4	0.001	Stimulus/S  1	2	105400
106.483	0.001	Stimulus/S 10	7	106483
106.55	0.001	Stimulus/S  4	3	106550
106.866	0.001	Stimulus/S  5	4	106866
106.983	0.001	Stimulus/S  6	5	106983
109.366	0.001	Stimulus/S 70	15	109366
109.386	0.001	Stimulus/S 74	17	109386
109.406	0.001	Stimulus/S 76	19	109406
109.45	0.001	Stimulus/S  7	6	109450
111.13	0.001	Stimulus/S 50	8	111130
111.15	0.001	Stimulus/S 55	10	111150
111.216	0.001	Stimulus/S  1	2	111216
112.316	0.001	Stimulus/S 10	7	112316
112.383	0.001	Stimulus/S  4	3	112383
112.7	0.001	Stimulus/S  5	4	112700
112.816	0.001	Stimulus/S  6	5	112816
115.206	0.001	Stimulus/S 70	15	115206
115.226	0.001	Stimulus/S 75	18	115226
115.246	0.001	Stimulus/S 76	19	115246
115.283	0.001	Stimulus/S  7	6	115283
117.147	0.001	Stimulus/S 50	8	117147
117.167	0.001	Stimulus/S 55	10	117167
117.233	0.001	Stimulus/S  1	2	117233
118.583	0.001	Stimulus/S 10	7	118583
118.65	0.001	Stimulus/S  4	3	118650
118.966	0.001	Stimulus/S  5	4	118966
119.083	0.001	Stimulus/S  6	5	119083
121.302	0.001	Stimulus/S 70	15	121302
121.323	0.001	Stimulus/S 77	20	121323
121.367	0.001	Stimulus/S  7	6	121367
123.204	0.001	Stimulus/S 56	11	123204
123.267	0.001	Stimulus/S  1	2	123267
124.383	0.001	Stimulus/S 10	7	124383
124.45	0.001	Stimulus/S  4	3	124450
124.767	0.001	Stimulus/S  5	4	124767
124.883	0.001	Stimulus/S  6	5	124883
